NatureID||Nature||Code||Libelle||Etat||DateCreation
59|238100 Immeubles acquisitions, constructions et grosses reparations pour le compte de tiers|238100|Immeubles acquisitions, constructions et grosses reparations pour le compte de tiers|NULL|NULL
60|239100 BŸtiments . usage agricole|239100|BŸtiments . usage agricole|NULL|NULL
61|239200 BŸtiments . usage industriel|239200|BŸtiments . usage industriel|NULL|NULL
62|239300 BŸtiments . usage administratif et commercial|239300|BŸtiments . usage administratif et commercial|NULL|NULL
63|239400 Agencement, am,nagement, installation de bureau|239400|Agencement, am,nagement, installation de bureau|NULL|NULL
64|239500 Agencement, am,nagement, installation d'habitation|239500|Agencement, am,nagement, installation d'habitation|NULL|NULL
65|239600 Immobilisations en cours|239600|Immobilisations en cours|NULL|NULL
66|239610 Immobilisations en cours-Constructions d'exploitation|239610|Immobilisations en cours-Constructions d'exploitation|NULL|NULL
67|239620 Immobilisations en cours-Constructions . usage social, culturel et d'habitation|239620|Immobilisations en cours-Constructions . usage social, culturel et d'habitation|NULL|NULL
68|239690 Autres immobilisations en cours|239690|Autres immobilisations en cours|NULL|NULL
69|239900 Autres constructions d'exploitation|239900|Autres constructions d'exploitation|NULL|NULL
70|241100 Mobilier et mat,riel de bureau (autre qu'informatique)|241100|Mobilier et mat,riel de bureau (autre qu'informatique)|NULL|NULL
71|241200 Mobilier et mat,riel de logement|241200|Mobilier et mat,riel de logement|NULL|NULL
72|241300 Mobilier et mat,riel scolaire et universitaire|241300|Mobilier et mat,riel scolaire et universitaire|NULL|NULL
73|241900 Autres Mobilier et materiel de logement et de bureau (autre qu'informatique)|241900|Autres Mobilier et materiel de logement et de bureau (autre qu'informatique)|NULL|NULL
74|242100 Mat,riel informatique|242100|Mat,riel informatique|NULL|NULL
75|242200 Vid,oprojecteur|242200|Vid,oprojecteur|NULL|NULL
76|242900 Autres Materiels informatiques de bureau|242900|Autres Materiels informatiques de bureau|NULL|NULL
77|243100 Voitures de fonction|243100|Voitures de fonction|NULL|NULL
78|243200 Voitures de service ou de liaison|243200|Voitures de service ou de liaison|NULL|NULL
79|243300 V,hicules . 2 roues et tricycles|243300|V,hicules . 2 roues et tricycles|NULL|NULL
80|243900 Autres Materiels de transport de service et de fonction|243900|Autres Materiels de transport de service et de fonction|NULL|NULL
81|244100 Mat,riel et outillage industriel|244100|Mat,riel et outillage industriel|NULL|NULL
82|244110 Mat,riel industriel|244110|Mat,riel industriel|NULL|NULL
83|244120 Outillage industriel|244120|Outillage industriel|NULL|NULL
84|244210 Mat,riel de travaux publics|244210|Mat,riel de travaux publics|NULL|NULL
